Age,Gender,Sleep_Duration,Stress_Level,Diet_Type,Daily_Screen_Time,Exercise_Frequency,Caffeine_Intake,Reaction_Time,Memory_Test_Score,Cognitive_Score,Stress_Exercise_Interaction
47,0,6.7,9,1,10.8,1,161,432.87,89,53.34,9
48,1,6.0,9,1,3.7,2,413,281.06,77,81.85,18
29,1,4.8,7,2,3.2,0,400,592.28,93,25.59,0
26,0,8.6,10,1,4.1,1,414,387.22,79,62.73,10
51,1,6.6,4,1,9.8,2,279,397.59,61,59.16,8
20,0,9.1,8,1,5.1,1,36,266.77,99,100.0,8
54,1,8.4,7,0,1.6,2,208,379.94,68,76.92,14
45,0,6.3,5,2,4.9,1,85,415.82,88,73.25,5
39,0,8.2,3,1,5.8,0,72,420.7,96,73.14,0
43,1,8.1,3,0,4.4,2,262,562.71,86,57.57,6
36,0,7.1,5,0,4.6,0,28,395.34,67,59.35,0
38,0,8.3,9,1,11.6,1,162,551.36,56,19.07,9
54,0,5.8,2,1,10.8,0,477,308.88,73,61.88,0
27,0,6.4,1,0,7.2,0,5,437.17,69,56.54,0
33,1,4.2,1,1,4.7,0,12,422.67,40,43.66,0
41,0,5.2,8,1,7.1,0,170,523.12,65,20.66,0
42,0,8.4,3,1,5.6,0,272,507.76,87,50.83,0
43,1,8.7,7,1,4.0,2,143,326.48,83,91.63,14
18,0,9.0,8,1,9.5,1,185,568.22,47,17.85,8
21,1,9.9,10,0,1.7,0,407,483.88,82,44.46,0
54,2,9.5,2,2,8.6,1,172,222.41,81,100.0,2
31,0,6.7,8,0,5.6,0,144,509.8,82,37.15,0
41,1,9.7,2,1,3.5,0,22,417.42,81,75.64,0
44,0,7.5,4,1,10.6,0,101,486.32,84,45.03,0
44,1,4.7,3,2,3.6,2,241,348.77,91,90.55,6
41,0,8.7,10,1,11.3,1,278,344.46,94,69.48,10
57,1,7.3,7,1,11.6,2,491,415.19,91,59.68,14
18,0,6.3,5,1,4.2,1,141,253.58,68,90.22,5
56,0,8.5,1,1,5.9,1,291,200.1,80,100.0,1
30,0,7.5,7,0,2.2,2,65,538.84,97,65.09,14
37,0,9.0,8,0,4.5,1,230,326.89,52,67.17,8
55,1,8.0,4,1,3.4,1,319,248.59,99,100.0,4
53,1,8.5,9,2,8.0,1,46,576.36,80,35.02,9
29,2,6.3,7,1,11.0,1,246,494.38,75,37.28,7
22,0,8.9,2,1,1.8,0,10,254.46,78,100.0,0
22,0,4.5,7,1,3.0,1,84,585.6,59,25.72,7
34,2,8.7,6,0,9.5,1,69,215.99,70,93.77,6
55,0,9.6,7,1,11.1,0,90,471.42,45,25.68,0
27,1,5.6,8,1,9.2,1,68,394.28,83,60.83,8
33,1,9.1,10,1,5.7,0,12,353.15,44,47.55,0
41,0,6.9,2,0,8.4,0,319,262.23,62,73.11,0
46,1,9.9,2,1,1.3,2,211,583.79,95,69.83,4
31,1,9.4,7,1,9.7,1,315,368.83,84,69.48,7
27,0,9.1,5,1,4.4,2,116,242.94,75,100.0,10
46,1,7.5,9,2,9.8,0,379,232.74,43,52.43,0
45,1,10.0,1,1,2.7,2,381,273.26,94,100.0,2
34,1,4.7,6,1,2.4,1,420,498.98,70,42.24,6
22,0,5.7,9,2,5.2,0,243,578.18,44,1.38,0
19,0,9.2,3,0,2.3,1,449,485.16,83,65.61,3
53,0,5.9,4,1,8.7,0,486,500.8,80,32.56,0
57,0,8.0,7,1,4.2,1,124,595.1,76,37.04,7
56,1,9.2,7,1,10.9,1,317,505.87,56,30.4,7
26,0,8.7,4,1,8.2,1,463,331.09,70,72.66,4
53,1,8.6,7,1,5.9,0,84,480.46,60,37.59,0
22,0,9.1,6,0,3.5,1,399,232.33,61,89.75,6
32,1,5.3,8,0,3.5,0,104,533.61,83,34.84,0
26,0,4.1,5,0,4.0,0,448,466.35,84,42.51,0
42,0,8.8,7,1,3.6,2,331,489.74,95,67.46,14
45,0,8.3,8,0,10.2,0,176,327.08,99,71.77,0
44,0,9.3,10,1,5.3,2,228,382.96,52,58.26,20
50,0,5.7,6,1,5.1,1,323,466.09,51,38.11,6
50,0,9.9,1,1,5.1,2,372,588.46,70,49.63,2
55,1,4.7,8,1,1.2,0,398,513.61,97,41.54,0
25,1,5.0,10,1,4.9,1,362,534.34,91,36.85,10
21,1,7.1,3,0,2.6,2,499,208.04,80,100.0,6
53,1,8.3,3,0,5.6,1,220,287.66,67,88.36,3
48,0,6.9,2,0,9.5,2,50,349.02,51,71.88,4
27,1,7.4,6,0,2.8,2,363,435.32,96,76.79,12
58,1,5.5,9,1,7.5,1,135,380.93,95,68.06,9
59,0,5.6,1,1,2.1,0,143,445.83,67,57.39,0
25,0,8.9,10,1,10.6,0,194,273.23,47,50.98,0
47,0,5.6,1,1,5.9,2,176,485.36,77,64.44,2
31,1,6.7,8,2,10.7,1,146,298.99,69,68.1,8
52,1,9.7,9,0,2.4,1,124,482.4,74,56.92,9
20,0,5.3,9,1,8.3,0,415,448.72,76,30.06,0
46,1,7.4,1,1,7.0,0,498,487.13,89,50.65,0
33,0,8.8,3,1,11.3,1,245,555.91,68,36.1,3
27,1,7.1,4,1,10.1,0,293,344.9,91,68.21,0
21,1,8.7,5,0,8.1,0,282,514.89,88,42.8,0
21,0,7.6,3,1,10.9,2,341,483.02,87,59.03,6
19,0,5.5,3,0,9.2,0,456,357.53,87,60.99,0
28,1,6.6,3,2,2.1,2,71,438.16,59,69.1,6
32,0,9.1,9,0,11.1,0,259,337.52,48,41.12,0
28,1,6.9,5,0,3.4,1,304,569.01,89,47.28,5
40,1,8.4,5,1,3.6,1,377,340.31,73,78.64,5
55,1,8.9,3,1,9.1,1,19,533.51,70,48.85,3
47,1,7.4,2,1,2.2,2,54,440.87,93,89.44,4
18,1,7.4,10,0,4.2,1,140,319.02,57,66.03,10
50,1,4.3,4,1,1.8,0,419,521.3,47,21.14,0
54,1,7.2,6,1,9.8,2,34,397.58,84,72.76,12
40,0,5.6,7,2,7.2,0,59,373.44,98,66.98,0
35,1,5.7,6,0,2.2,1,274,563.64,53,28.18,6
27,1,4.3,1,0,9.9,0,498,207.23,42,63.25,0
34,1,5.3,4,0,11.0,1,114,461.97,59,41.32,4
24,0,8.2,1,1,6.2,1,114,209.2,46,95.95,1
32,2,9.3,3,1,8.8,2,77,212.51,43,93.94,6
44,0,6.6,4,1,8.5,0,89,477.11,86,49.15,0
26,1,6.5,7,0,3.2,0,90,210.53,85,94.81,0
38,0,8.6,2,1,5.6,1,470,469.24,58,51.19,2
54,0,4.4,4,0,11.5,1,147,345.86,77,66.47,4
46,0,9.6,8,1,2.2,2,257,390.2,82,80.73,16
59,0,4.4,5,1,5.1,1,104,384.69,65,62.46,5
50,1,4.9,4,1,2.7,0,54,575.0,98,44.84,0
23,0,5.0,2,1,9.7,0,47,566.59,61,21.58,0
42,0,9.3,7,1,2.5,0,377,428.67,66,49.86,0
52,1,7.5,4,1,3.7,1,376,378.25,92,81.89,4
34,0,7.5,4,0,5.7,0,351,570.27,69,25.88,0
44,1,9.3,9,1,1.8,1,5,338.37,63,77.9,9
57,2,8.9,4,1,3.0,2,356,357.6,56,76.58,8
42,1,10.0,9,1,9.5,1,369,368.18,42,45.01,9
29,1,8.9,9,1,7.4,1,109,580.46,74,31.78,9
54,0,7.7,2,2,2.4,0,4,379.11,44,61.54,0
57,1,4.4,9,0,3.9,1,343,279.05,46,59.58,9
55,0,5.2,9,1,2.7,1,494,521.68,68,30.52,9
58,0,8.1,10,1,4.3,1,247,543.68,62,30.2,10
42,1,7.5,8,2,6.1,0,67,229.35,50,70.28,0
19,0,4.9,4,0,7.8,2,341,345.89,99,85.13,8
18,1,6.1,3,1,11.9,0,448,312.11,49,46.87,0
20,0,9.6,1,1,10.7,2,145,479.36,75,65.86,2
46,0,8.2,9,1,2.6,0,470,402.68,68,46.99,0
31,0,5.3,7,1,10.0,2,277,466.45,81,48.82,14
51,0,8.5,2,1,7.8,0,5,383.9,66,65.22,0
39,1,4.5,8,1,7.2,0,63,540.85,55,13.3,0
53,1,9.0,8,0,6.4,0,470,465.62,54,27.4,0
32,0,9.7,7,0,5.0,0,154,536.13,72,36.46,0
54,0,7.8,1,1,2.6,0,292,511.64,49,38.09,0
27,0,5.0,7,2,7.4,1,151,502.74,66,36.09,7
26,1,4.2,8,1,10.7,1,5,448.98,89,50.92,8
52,0,7.7,2,0,8.5,2,219,453.39,51,54.2,4
59,0,4.7,6,0,9.4,1,143,489.37,79,43.38,6
34,1,9.8,9,2,1.9,1,415,522.55,40,28.36,9
35,0,7.5,8,2,2.9,2,10,462.88,48,51.3,16
42,0,6.5,8,0,9.2,1,46,280.77,93,86.99,8
52,0,4.0,7,0,10.4,1,114,584.2,53,10.25,7
33,1,8.2,8,1,6.3,1,391,448.69,67,46.85,8
42,0,7.8,4,0,10.0,1,492,419.46,83,59.35,4
33,1,6.7,4,0,4.2,0,1,290.29,64,77.7,0
58,0,9.3,1,0,5.3,1,481,325.64,49,74.26,1
41,1,6.5,5,1,1.7,0,416,426.01,92,62.13,0
29,1,5.4,6,1,4.1,2,244,581.58,41,21.34,12
52,0,8.0,6,0,1.1,2,349,447.34,57,59.31,12
26,1,9.5,9,1,11.7,1,139,574.72,68,23.88,9
54,1,9.9,2,0,1.1,1,295,346.97,77,93.92,2
49,0,4.0,6,1,1.3,0,120,488.47,47,28.74,0
36,0,6.0,4,1,6.7,0,493,434.19,40,26.73,0
39,1,6.8,5,1,11.7,0,157,484.44,71,32.67,0
51,0,8.4,4,1,2.9,1,64,395.47,78,81.26,4
36,0,6.3,8,1,11.1,1,32,483.53,57,32.22,8
29,0,7.3,3,2,4.2,1,83,424.51,80,74.89,3
35,1,6.3,6,1,5.9,0,33,210.36,63,82.53,0
22,1,4.3,6,1,4.2,2,385,551.95,56,28.61,12
43,0,6.9,6,0,2.6,1,449,279.7,58,76.3,6
44,0,9.5,9,1,11.1,1,198,452.13,42,31.03,9
37,1,6.5,5,0,8.7,0,110,270.09,79,77.24,0
25,1,7.5,2,0,8.0,1,256,342.79,63,73.25,2
33,1,4.1,8,1,3.3,1,433,381.51,97,68.5,8
19,0,8.7,9,1,8.9,0,426,366.76,61,41.9,0
18,0,9.6,1,1,3.3,0,41,583.08,72,45.25,0
22,0,9.9,8,2,8.8,1,124,411.26,97,73.08,8
48,0,5.7,5,0,1.2,0,492,258.61,56,69.66,0
40,1,5.4,4,1,3.8,2,363,347.42,64,73.94,8
38,2,9.1,2,0,3.3,0,314,274.2,60,82.27,0
29,1,9.7,4,1,8.1,2,227,276.83,75,96.07,8
21,1,9.6,8,1,7.4,1,269,506.36,53,33.83,8
54,1,4.5,6,1,3.6,1,47,251.88,97,100.0,6
28,1,6.6,8,1,4.3,0,349,481.2,58,27.57,0
59,1,5.0,8,0,3.0,0,410,367.85,57,43.49,0
57,0,6.5,7,1,9.9,0,46,401.63,65,43.79,0
26,0,6.3,6,2,9.7,1,231,520.59,43,21.17,6
43,1,7.3,9,1,10.6,1,397,200.82,83,85.79,9
56,0,6.1,3,1,8.2,2,7,381.23,44,62.22,6
44,1,6.4,9,1,10.6,0,483,321.0,83,52.24,0
46,0,4.6,1,2,6.2,0,18,456.43,93,62.97,0
42,1,4.9,10,0,2.2,1,157,534.94,60,29.2,10
35,0,8.9,5,2,10.1,1,224,345.39,60,65.6,5
47,1,7.3,2,1,10.8,0,301,366.97,81,62.72,0
25,1,6.1,10,1,9.3,0,344,560.0,74,10.04,0
19,0,8.2,6,1,5.6,0,469,518.14,44,17.26,0
39,1,6.8,1,0,11.3,0,292,515.39,98,46.91,0
38,2,10.0,8,1,4.7,0,61,205.33,74,93.51,0
56,1,6.7,3,1,6.9,0,411,597.98,87,27.67,0
43,0,9.9,4,1,2.1,0,46,451.85,75,64.92,0
46,0,4.2,8,0,5.8,2,203,519.42,92,49.07,16
22,1,7.7,3,1,10.5,1,27,270.36,42,74.05,3
31,1,4.3,2,1,2.1,1,269,571.9,73,42.25,2
52,1,8.1,7,0,10.8,1,472,474.99,43,23.89,7
23,1,7.7,4,0,11.6,2,242,229.91,80,96.84,8
40,0,6.5,8,0,7.8,1,302,276.64,41,58.65,8
34,1,7.2,2,1,11.0,0,238,490.52,70,37.39,0
41,1,5.2,9,1,1.3,1,201,485.88,55,37.95,9
57,1,6.0,7,1,2.3,2,396,540.08,76,44.62,14
46,1,5.6,2,0,2.8,1,325,293.94,53,79.01,2
47,0,4.0,8,2,3.2,0,367,481.04,58,23.69,0
41,1,5.1,4,0,3.9,1,405,542.45,42,23.84,4
52,1,8.1,3,1,8.1,1,80,286.74,96,100.0,3
54,1,4.7,6,1,5.4,2,233,438.2,49,46.11,12
19,0,7.1,8,1,11.1,0,73,415.47,53,32.34,0
38,0,8.5,2,1,8.5,0,455,546.38,68,29.09,0
57,0,8.8,7,1,4.8,2,108,280.15,64,89.55,14
58,1,9.5,1,1,3.3,0,82,356.53,52,71.99,0
22,0,6.9,8,1,7.7,2,166,285.89,45,67.78,16
52,0,7.1,3,1,3.7,0,415,414.41,74,57.28,0
52,1,9.2,2,0,8.6,1,438,426.9,40,46.59,2
36,0,8.2,8,1,7.1,0,424,290.3,70,62.89,0
33,0,7.8,7,1,5.1,1,344,336.73,78,74.95,7
42,0,5.9,8,1,1.0,2,57,253.23,58,89.96,16
33,0,9.6,7,1,11.5,2,128,495.29,43,34.34,14
48,1,8.2,8,1,9.3,1,499,504.05,93,43.96,8
50,1,8.8,2,0,10.5,0,466,228.1,66,78.51,0
34,0,6.0,4,2,11.4,0,186,227.43,43,61.78,0
38,1,5.2,9,0,6.9,2,448,571.69,67,21.31,18
52,0,7.3,4,2,6.3,0,229,454.29,66,44.86,0
40,1,8.9,9,0,8.7,1,143,479.97,82,49.9,9
33,1,5.9,1,2,8.8,2,38,210.56,92,100.0,2
55,0,9.6,8,1,1.3,1,239,382.36,84,79.74,8
31,1,6.3,2,1,11.0,2,183,565.35,83,45.71,4
57,0,8.3,4,1,11.2,1,94,251.11,54,80.07,4
58,0,8.4,10,1,3.4,2,282,542.67,46,28.62,20
50,0,8.3,3,0,10.4,1,12,208.78,80,100.0,3
38,0,7.2,10,1,12.0,1,400,238.25,52,59.69,10
34,0,8.9,1,1,3.6,1,78,349.61,77,94.07,1
21,0,8.3,4,2,7.4,1,202,200.91,92,100.0,4
33,1,8.6,9,1,7.5,1,423,320.24,81,71.62,9
47,0,9.5,6,1,1.7,1,403,416.94,80,71.9,6
51,0,6.1,10,2,6.9,0,324,545.41,90,24.47,0
39,0,9.8,4,0,3.1,2,97,489.9,50,58.36,8
59,0,9.5,3,2,12.0,0,149,537.05,53,24.01,0
46,0,8.6,6,0,4.2,0,463,335.81,54,55.67,0
22,1,7.3,9,1,11.6,0,10,532.03,40,5.33,0
18,0,4.0,1,0,1.4,0,272,331.38,53,64.73,0
57,1,8.5,8,0,1.7,0,223,265.92,97,93.17,0
42,0,9.5,5,1,5.9,1,71,309.72,92,98.11,5
23,1,6.7,9,1,5.1,0,178,251.74,49,61.73,0
40,1,5.3,6,0,12.0,1,35,397.21,76,56.7,6
50,0,8.4,8,0,2.4,2,59,308.8,63,86.05,16
31,0,7.6,6,2,8.0,0,186,397.83,82,57.18,0
59,0,10.0,6,2,10.0,2,434,512.46,40,28.91,12
53,0,5.1,9,0,1.3,2,203,578.49,58,28.77,18
35,0,5.9,5,0,1.0,0,397,463.95,88,54.04,0
57,1,9.1,10,0,3.8,0,57,483.77,78,44.73,0
27,1,8.0,10,2,9.3,1,407,249.53,51,62.82,10
56,0,9.0,5,1,11.5,2,333,366.39,69,67.53,10
29,1,8.2,4,0,4.1,1,70,415.41,45,59.12,4
55,1,5.3,7,1,8.5,0,27,414.68,57,37.7,0
40,1,7.6,1,1,11.9,0,392,229.55,84,86.25,0
24,0,9.6,4,1,3.2,2,368,395.04,87,86.7,8
42,0,7.9,1,0,1.8,0,368,435.79,98,75.11,0
30,0,7.9,3,2,7.3,0,340,216.59,68,84.95,0
55,1,9.0,7,1,10.7,0,432,458.65,49,22.37,0
36,1,8.2,5,1,9.1,1,235,497.25,87,53.68,5
39,0,8.8,10,1,1.9,1,482,567.65,43,17.0,10
58,0,5.8,1,1,11.7,2,492,290.16,59,73.35,2
28,1,7.2,10,2,1.6,1,189,550.82,43,22.92,10
59,0,9.2,2,1,3.6,2,440,571.33,69,49.48,4
20,0,7.9,1,1,11.1,1,127,336.45,99,93.04,1
36,1,6.0,5,0,9.8,1,473,534.97,65,26.18,5
44,0,5.7,6,1,5.6,2,460,315.72,60,69.18,12
24,1,8.6,4,1,8.6,0,2,433.45,88,63.02,0
54,0,8.1,10,0,6.1,2,132,204.92,57,88.76,20
44,1,6.9,3,1,9.4,0,9,348.38,80,70.46,0
51,1,5.2,7,1,6.7,1,2,448.37,71,52.08,7
28,1,5.8,9,1,9.8,1,444,550.3,66,16.3,9
55,0,9.3,4,2,11.1,0,63,308.32,42,57.3,0
22,0,6.1,6,0,10.1,1,490,552.64,95,35.64,6
24,0,7.1,1,1,9.1,2,1,559.16,92,61.34,2
53,1,5.9,8,1,6.6,1,105,201.25,87,98.76,8
22,1,8.7,6,1,2.0,1,433,417.64,98,78.13,6
22,0,5.2,2,1,11.1,1,43,345.68,47,59.78,2
44,1,9.0,4,2,6.6,1,31,420.76,47,57.85,4
46,0,6.7,8,0,10.1,2,113,299.75,74,77.03,16
44,0,6.6,9,1,1.2,0,392,265.0,48,60.39,0
49,1,9.5,7,1,5.9,1,48,234.06,85,100.0,7
42,0,5.5,3,0,11.7,1,399,439.11,87,54.78,3
59,1,8.7,9,1,9.7,2,25,596.32,98,43.96,18
51,1,9.8,2,0,3.1,0,294,212.16,63,96.21,0
32,1,9.7,10,2,1.7,1,392,505.56,58,38.75,10
58,0,8.5,4,0,6.7,1,124,471.46,89,67.39,4
51,0,5.6,3,0,7.3,1,284,571.48,65,30.82,3
52,0,9.4,7,0,3.9,0,499,495.87,47,24.82,0
37,1,6.5,10,2,10.8,1,110,341.6,53,49.17,10
41,1,6.3,10,0,1.0,1,300,569.73,84,37.15,10
51,1,6.3,5,0,11.8,0,198,222.54,75,76.35,0
51,0,4.4,7,0,11.2,1,441,466.57,54,23.42,7
44,1,6.1,3,1,6.0,0,143,331.8,63,65.54,0
38,0,9.5,2,0,4.1,0,85,417.83,97,81.01,0
50,1,5.6,5,1,6.5,2,228,206.15,40,82.53,10
56,1,5.8,5,1,1.9,2,265,387.41,90,83.88,10
57,1,8.7,4,1,2.8,1,374,416.62,49,57.78,4
53,1,4.4,2,1,9.1,2,492,360.18,95,78.78,4
42,1,8.9,6,1,4.7,0,404,367.39,60,54.44,0
24,1,9.1,8,0,11.6,1,202,408.05,71,53.25,8
27,1,4.9,3,1,2.0,0,430,580.63,99,39.93,0
27,1,5.4,4,0,2.6,1,14,312.17,56,79.59,4
55,0,8.3,7,1,3.2,1,83,495.74,60,48.52,7
41,0,6.8,2,0,5.8,0,253,316.23,99,87.63,0
27,1,5.9,1,0,9.0,1,258,322.6,75,79.87,1
43,1,6.4,5,0,11.6,1,100,567.55,51,19.31,5
47,0,8.7,9,1,1.7,2,466,597.39,73,34.47,18
44,0,4.7,4,1,10.1,1,495,520.03,55,22.18,4
36,0,8.7,6,0,9.0,0,139,409.61,83,57.35,0
18,0,5.6,3,1,8.1,0,232,516.19,72,33.38,0
50,1,8.6,2,2,9.3,2,297,267.64,96,100.0,4
28,1,9.7,9,0,2.3,2,8,330.22,95,100.0,18
51,0,9.6,9,1,11.9,1,488,470.39,71,35.69,9
55,0,9.9,2,1,6.6,2,161,461.28,74,72.8,4
33,0,5.3,3,1,9.4,1,193,425.93,42,41.65,3
18,1,9.8,6,1,7.8,0,173,273.08,67,75.43,0
58,1,5.2,4,1,5.9,1,276,415.65,43,45.26,4
45,0,4.3,3,2,7.7,1,93,433.54,73,58.43,3
32,1,5.0,10,1,8.8,1,351,233.18,52,61.92,10
33,0,4.1,4,1,6.5,1,6,337.09,90,84.15,4
49,0,4.0,2,0,5.0,1,439,297.76,49,67.59,2
56,1,7.6,1,1,7.8,0,9,514.73,79,50.03,0
18,1,4.3,6,0,3.0,0,41,588.83,96,36.14,0
26,0,5.8,2,0,9.5,1,456,276.25,99,92.69,2
46,1,6.7,8,0,6.0,1,246,221.69,71,87.03,8
42,0,5.3,2,1,1.9,1,63,421.28,76,75.28,2
28,0,9.7,4,1,2.6,0,120,223.88,72,98.79,0
59,0,5.8,6,0,2.0,2,83,312.23,87,96.4,12
28,1,4.1,10,1,6.9,0,389,364.11,58,33.38,0
23,1,6.4,7,2,1.9,1,45,311.61,66,81.11,7
51,0,4.7,3,0,3.8,2,351,234.62,82,100.0,6
31,0,9.1,2,2,9.1,1,381,364.44,85,79.69,2
25,1,7.2,10,1,10.9,0,156,274.0,62,55.26,0
42,1,4.5,5,1,8.4,1,185,258.05,55,72.19,5
21,0,6.2,7,0,1.9,0,270,353.2,75,63.78,0
48,1,6.2,2,0,11.2,1,80,247.57,43,75.24,2
38,1,8.6,1,0,12.0,1,0,337.07,96,94.02,1
49,0,9.8,2,1,7.1,1,241,296.56,71,91.2,2
31,0,5.9,9,2,1.9,2,297,485.76,86,57.05,18
45,1,5.3,2,0,8.0,1,73,412.22,52,55.44,2
42,0,8.5,5,1,7.0,1,394,287.07,94,92.78,5
45,1,7.1,1,1,2.9,2,358,504.81,64,58.56,2
32,0,8.4,3,0,9.6,2,76,214.65,99,100.0,6
39,1,4.3,5,1,10.1,1,304,391.62,63,48.6,5
23,0,10.0,1,0,8.9,0,413,377.12,63,60.04,0
19,1,6.9,9,1,7.4,0,453,584.71,49,0.0,0
23,1,9.0,7,1,11.9,1,409,228.19,88,88.94,7
40,0,5.1,9,0,4.3,0,394,442.58,60,29.11,0
43,1,4.9,3,1,3.2,0,10,246.56,67,86.21,0
28,0,6.2,10,1,6.1,2,364,292.63,54,64.2,20
18,0,5.5,8,2,5.7,1,338,243.23,64,76.15,8
45,1,5.0,3,0,10.1,0,336,577.57,97,29.37,0
39,1,4.6,1,1,11.6,1,401,526.36,52,25.05,1
58,0,4.6,5,2,9.8,2,483,216.03,58,77.84,10
30,0,5.0,9,0,9.7,1,410,544.44,99,33.01,9
58,0,4.6,2,0,6.6,0,359,308.26,57,60.24,0
53,0,7.3,6,1,9.1,0,137,280.15,79,74.02,0
39,0,9.1,8,0,8.8,0,158,296.91,56,59.35,0
21,1,9.1,3,1,3.7,0,240,582.01,72,35.85,0
58,0,9.7,8,1,7.3,0,456,501.12,49,19.31,0
35,0,6.5,6,1,6.8,1,313,245.0,72,84.71,6
55,1,8.9,9,1,11.4,0,269,496.13,70,24.63,0
34,1,8.3,6,1,3.9,0,314,219.04,82,91.96,0
42,1,9.5,8,1,10.9,2,209,316.48,68,73.72,16
34,1,7.7,7,1,11.1,0,435,508.23,97,34.85,0
46,1,5.2,1,0,7.8,1,412,491.84,42,32.49,1
25,0,8.9,2,1,9.7,1,423,481.58,45,38.03,2
46,0,5.2,10,1,9.4,0,238,568.66,78,10.76,0
32,1,6.6,5,1,8.4,1,311,424.21,41,39.18,5
58,1,8.3,5,0,4.6,0,224,416.57,97,69.29,0
50,1,9.3,1,0,5.1,2,270,445.1,45,61.87,2
27,1,5.7,3,1,6.9,1,488,591.84,83,33.15,3
54,1,4.9,2,1,10.9,0,408,551.22,78,23.42,0
28,1,7.7,3,0,5.8,1,269,588.91,83,43.67,3
52,1,6.3,5,1,2.0,1,237,232.34,70,96.14,5
51,0,7.9,10,0,2.2,1,178,400.36,79,66.71,10
49,1,9.1,6,0,3.9,2,325,444.94,78,68.69,12
39,1,7.0,4,1,6.3,1,222,432.15,81,65.59,4
21,1,4.5,1,1,10.6,1,142,216.99,66,90.1,1
19,0,9.6,3,0,9.6,0,373,389.89,96,69.36,0
50,1,5.8,8,1,2.3,0,200,292.03,58,63.48,0
26,0,9.8,7,0,2.0,1,107,247.0,42,85.29,7
52,0,9.1,6,1,9.8,1,429,595.48,84,30.67,6
55,1,5.9,1,1,11.5,1,463,404.46,91,66.38,1
48,0,6.5,6,1,1.2,1,106,518.38,43,37.18,6
31,0,4.5,7,0,10.1,1,369,281.21,56,58.6,7
48,1,8.7,3,1,9.9,1,367,435.43,41,42.14,3
50,1,5.9,1,1,10.2,2,398,408.98,70,63.38,2
33,0,5.0,9,0,1.5,0,271,489.49,85,40.25,0
37,0,8.9,6,1,1.0,0,160,576.23,56,28.06,0
31,1,9.1,8,0,4.5,2,170,576.67,89,50.44,16
52,1,6.2,7,1,6.6,1,419,208.14,64,82.43,7
50,1,5.5,10,1,3.9,0,59,217.55,45,65.21,0
46,1,7.9,1,1,6.3,0,8,482.82,65,51.22,0
25,1,5.8,7,1,10.6,1,359,472.65,97,49.24,7
51,1,7.1,2,0,9.1,1,124,208.64,96,100.0,2
31,1,7.9,10,1,8.6,1,129,595.02,45,8.65,10
31,1,7.7,1,0,11.3,2,454,565.71,44,25.08,2
32,1,8.2,1,1,9.1,2,155,241.93,56,95.33,2
59,1,6.2,9,1,6.7,1,165,333.83,81,70.91,9
37,1,7.2,5,1,8.8,1,199,248.62,80,90.78,5
45,0,4.9,2,1,8.5,0,375,506.84,68,30.08,0
21,1,5.0,9,0,6.3,1,499,233.1,75,76.22,9
24,0,7.5,3,1,6.2,0,136,215.84,88,100.0,0
